/////////////////////////////////////

Block List
2019/10/18 01:29:57

/////////////////////////////////////

ID,RegisterName,UnlocalizedName,LightLevel,OpacityLevel
0,minecraft:air,tile.air,0,0
1,minecraft:stone,tile.stone,0,255
2,minecraft:grass,tile.grass,0,255
3,minecraft:dirt,tile.dirt,0,255
4,minecraft:cobblestone,tile.stonebrick,0,255
5,minecraft:planks,tile.wood,0,255
6,minecraft:sapling,tile.sapling,0,0
7,minecraft:bedrock,tile.bedrock,0,255
8,minecraft:flowing_water,tile.water,0,1
9,minecraft:water,tile.water,0,1
10,minecraft:flowing_lava,tile.lava,15,0
11,minecraft:lava,tile.lava,15,0
12,minecraft:sand,tile.sand,0,255
13,minecraft:gravel,tile.gravel,0,255
14,minecraft:gold_ore,tile.oreGold,0,255
15,minecraft:iron_ore,tile.oreIron,0,255
16,minecraft:coal_ore,tile.oreCoal,0,255
17,minecraft:log,tile.log,0,255
18,minecraft:leaves,tile.leaves,0,1
19,minecraft:sponge,tile.sponge,0,255
20,minecraft:glass,tile.glass,0,0
21,minecraft:lapis_ore,tile.oreLapis,0,255
22,minecraft:lapis_block,tile.blockLapis,0,255
23,minecraft:dispenser,tile.dispenser,0,255
24,minecraft:sandstone,tile.sandStone,0,255
25,minecraft:noteblock,tile.musicBlock,0,255
26,minecraft:bed,tile.bed,0,0
27,minecraft:golden_rail,tile.goldenRail,0,0
28,minecraft:detector_rail,tile.detectorRail,0,0
29,minecraft:sticky_piston,tile.pistonStickyBase,0,0
30,minecraft:web,tile.web,0,1
31,minecraft:tallgrass,tile.tallgrass,0,0
32,minecraft:deadbush,tile.deadbush,0,0
33,minecraft:piston,tile.pistonBase,0,0
34,minecraft:piston_head,tile.null,0,0
35,minecraft:wool,tile.cloth,0,255
36,minecraft:piston_extension,tile.null,0,0
37,minecraft:yellow_flower,tile.flower1,0,0
38,minecraft:red_flower,tile.flower2,0,0
39,minecraft:brown_mushroom,tile.mushroom,1,0
40,minecraft:red_mushroom,tile.mushroom,0,0
41,minecraft:gold_block,tile.blockGold,0,255
42,minecraft:iron_block,tile.blockIron,0,255
43,minecraft:double_stone_slab,tile.stoneSlab,0,255
44,minecraft:stone_slab,tile.stoneSlab,0,255
45,minecraft:brick_block,tile.brick,0,255
46,minecraft:tnt,tile.tnt,0,255
47,minecraft:bookshelf,tile.bookshelf,0,255
48,minecraft:mossy_cobblestone,tile.stoneMoss,0,255
49,minecraft:obsidian,tile.obsidian,0,255
50,minecraft:torch,tile.torch,14,0
51,minecraft:fire,tile.fire,15,0
52,minecraft:mob_spawner,tile.mobSpawner,0,0
53,minecraft:oak_stairs,tile.stairsWood,0,255
54,minecraft:chest,tile.chest,0,0
55,minecraft:redstone_wire,tile.redstoneDust,0,0
56,minecraft:diamond_ore,tile.oreDiamond,0,255
57,minecraft:diamond_block,tile.blockDiamond,0,255
58,minecraft:crafting_table,tile.workbench,0,255
59,minecraft:wheat,tile.crops,0,0
60,minecraft:farmland,tile.farmland,0,255
61,minecraft:furnace,tile.furnace,0,255
62,minecraft:lit_furnace,tile.furnace,13,255
63,minecraft:standing_sign,tile.sign,0,0
64,minecraft:wooden_door,tile.doorWood,0,0
65,minecraft:ladder,tile.ladder,0,0
66,minecraft:rail,tile.rail,0,0
67,minecraft:stone_stairs,tile.stairsStone,0,255
68,minecraft:wall_sign,tile.sign,0,0
69,minecraft:lever,tile.lever,0,0
70,minecraft:stone_pressure_plate,tile.pressurePlate,0,0
71,minecraft:iron_door,tile.doorIron,0,0
72,minecraft:wooden_pressure_plate,tile.pressurePlate,0,0
73,minecraft:redstone_ore,tile.oreRedstone,0,255
74,minecraft:lit_redstone_ore,tile.oreRedstone,9,255
75,minecraft:unlit_redstone_torch,tile.notGate,0,0
76,minecraft:redstone_torch,tile.notGate,7,0
77,minecraft:stone_button,tile.button,0,0
78,minecraft:snow_layer,tile.snow,0,0
79,minecraft:ice,tile.ice,0,3
80,minecraft:snow,tile.snow,0,255
81,minecraft:cactus,tile.cactus,0,0
82,minecraft:clay,tile.clay,0,255
83,minecraft:reeds,tile.reeds,0,0
84,minecraft:jukebox,tile.jukebox,0,255
85,minecraft:fence,tile.fence,0,0
86,minecraft:pumpkin,tile.pumpkin,0,255
87,minecraft:netherrack,tile.hellrock,0,255
88,minecraft:soul_sand,tile.hellsand,0,255
89,minecraft:glowstone,tile.lightgem,15,255
90,minecraft:portal,tile.portal,11,0
91,minecraft:lit_pumpkin,tile.litpumpkin,15,255
92,minecraft:cake,tile.cake,0,0
93,minecraft:unpowered_repeater,tile.diode,0,0
94,minecraft:powered_repeater,tile.diode,9,0
95,minecraft:stained_glass,tile.stainedGlass,0,0
96,minecraft:trapdoor,tile.trapdoor,0,0
97,minecraft:monster_egg,tile.monsterStoneEgg,0,255
98,minecraft:stonebrick,tile.stonebricksmooth,0,255
99,minecraft:brown_mushroom_block,tile.mushroom,0,255
100,minecraft:red_mushroom_block,tile.mushroom,0,255
101,minecraft:iron_bars,tile.fenceIron,0,0
102,minecraft:glass_pane,tile.thinGlass,0,0
103,minecraft:melon_block,tile.melon,0,255
104,minecraft:pumpkin_stem,tile.pumpkinStem,0,0
105,minecraft:melon_stem,tile.pumpkinStem,0,0
106,minecraft:vine,tile.vine,0,0
107,minecraft:fence_gate,tile.fenceGate,0,0
108,minecraft:brick_stairs,tile.stairsBrick,0,255
109,minecraft:stone_brick_stairs,tile.stairsStoneBrickSmooth,0,255
110,minecraft:mycelium,tile.mycel,0,255
111,minecraft:waterlily,tile.waterlily,0,0
112,minecraft:nether_brick,tile.netherBrick,0,255
113,minecraft:nether_brick_fence,tile.netherFence,0,0
114,minecraft:nether_brick_stairs,tile.stairsNetherBrick,0,255
115,minecraft:nether_wart,tile.netherStalk,0,0
116,minecraft:enchanting_table,tile.enchantmentTable,0,0
117,minecraft:brewing_stand,tile.brewingStand,1,0
118,minecraft:cauldron,tile.cauldron,0,0
119,minecraft:end_portal,tile.null,15,0
120,minecraft:end_portal_frame,tile.endPortalFrame,1,0
121,minecraft:end_stone,tile.whiteStone,0,255
122,minecraft:dragon_egg,tile.dragonEgg,1,0
123,minecraft:redstone_lamp,tile.redstoneLight,0,255
124,minecraft:lit_redstone_lamp,tile.redstoneLight,15,255
125,minecraft:double_wooden_slab,tile.woodSlab,0,255
126,minecraft:wooden_slab,tile.woodSlab,0,255
127,minecraft:cocoa,tile.cocoa,0,0
128,minecraft:sandstone_stairs,tile.stairsSandStone,0,255
129,minecraft:emerald_ore,tile.oreEmerald,0,255
130,minecraft:ender_chest,tile.enderChest,7,0
131,minecraft:tripwire_hook,tile.tripWireSource,0,0
132,minecraft:tripwire,tile.tripWire,0,0
133,minecraft:emerald_block,tile.blockEmerald,0,255
134,minecraft:spruce_stairs,tile.stairsWoodSpruce,0,255
135,minecraft:birch_stairs,tile.stairsWoodBirch,0,255
136,minecraft:jungle_stairs,tile.stairsWoodJungle,0,255
137,minecraft:command_block,tile.commandBlock,0,255
138,minecraft:beacon,tile.beacon,15,0
139,minecraft:cobblestone_wall,tile.cobbleWall,0,0
140,minecraft:flower_pot,tile.flowerPot,0,0
141,minecraft:carrots,tile.carrots,0,0
142,minecraft:potatoes,tile.potatoes,0,0
143,minecraft:wooden_button,tile.button,0,0
144,minecraft:skull,tile.skull,0,0
145,minecraft:anvil,tile.anvil,0,0
146,minecraft:trapped_chest,tile.chestTrap,0,0
147,minecraft:light_weighted_pressure_plate,tile.weightedPlate_light,0,0
148,minecraft:heavy_weighted_pressure_plate,tile.weightedPlate_heavy,0,0
149,minecraft:unpowered_comparator,tile.comparator,0,0
150,minecraft:powered_comparator,tile.comparator,9,0
151,minecraft:daylight_detector,tile.daylightDetector,0,0
152,minecraft:redstone_block,tile.blockRedstone,0,255
153,minecraft:quartz_ore,tile.netherquartz,0,255
154,minecraft:hopper,tile.hopper,0,0
155,minecraft:quartz_block,tile.quartzBlock,0,255
156,minecraft:quartz_stairs,tile.stairsQuartz,0,255
157,minecraft:activator_rail,tile.activatorRail,0,0
158,minecraft:dropper,tile.dropper,0,255
159,minecraft:stained_hardened_clay,tile.clayHardenedStained,0,255
160,minecraft:stained_glass_pane,tile.thinStainedGlass,0,0
161,minecraft:leaves2,tile.leaves,0,1
162,minecraft:log2,tile.log,0,255
163,minecraft:acacia_stairs,tile.stairsWoodAcacia,0,255
164,minecraft:dark_oak_stairs,tile.stairsWoodDarkOak,0,255
165,MCTE:minesweeper,tile.mcte:minesweeper,0,255
166,MCTE:miniature,tile.mcte:miniature,0,0
167,MCTE:port_in,tile.mcte:port_in,0,255
168,MCTE:port_out,tile.mcte:port_out,0,255
169,ArchitectureCraft:sawbench,tile.architecturecraft:sawbench,0,0
170,minecraft:hay_block,tile.hayBlock,0,255
171,minecraft:carpet,tile.woolCarpet,0,0
172,minecraft:hardened_clay,tile.clayHardened,0,255
173,minecraft:coal_block,tile.blockCoal,0,255
174,minecraft:packed_ice,tile.icePacked,0,255
175,minecraft:double_plant,tile.doublePlant,0,0
176,ArchitectureCraft:shape,tile.architecturecraft:shape,0,0
177,ForgeMultipart:block,tile.multipart,0,0
178,armourersWorkshop:block.armourerBrain,tile.armourersworkshop:armourerBrain,0,255
179,armourersWorkshop:block.armourLibrary,tile.armourersworkshop:armourLibrary,0,255
180,armourersWorkshop:block.globalSkinLibrary,tile.armourersworkshop:globalSkinLibrary,0,255
181,armourersWorkshop:block.awBoundingBox6,tile.armourersworkshop:armourersworkshop:awBoundingBox6,0,0
182,armourersWorkshop:block.colourable,tile.armourersworkshop:colourable,0,0
183,armourersWorkshop:block.colourableGlowing,tile.armourersworkshop:colourableGlowing,15,0
184,armourersWorkshop:block.colourableGlass,tile.armourersworkshop:colourableGlass,0,0
185,armourersWorkshop:block.colourableGlassGlowing,tile.armourersworkshop:colourableGlassGlowing,15,0
186,armourersWorkshop:block.colourMixer,tile.armourersworkshop:colourMixer,0,255
187,armourersWorkshop:block.mannequin,tile.armourersworkshop:mannequin,0,0
188,armourersWorkshop:block.doll,tile.armourersworkshop:doll,0,0
189,armourersWorkshop:block.skinningTable,tile.armourersworkshop:skinningTable,0,255
190,armourersWorkshop:block.skinnable,tile.armourersworkshop:skinnable,0,0
191,armourersWorkshop:block.skinnableGlowing,tile.armourersworkshop:skinnableGlowing,15,0
192,armourersWorkshop:block.skinnableChild,tile.armourersworkshop:skinnableChild,0,0
193,armourersWorkshop:block.skinnableChildGlowing,tile.armourersworkshop:skinnableChildGlowing,15,0
194,armourersWorkshop:block.dyeTable,tile.armourersworkshop:dyeTable,0,255
195,armourersWorkshop:block.hologramProjector,tile.armourersworkshop:hologramProjector,0,255
196,BiblioCraft:tile.BiblioFramedChest,tile.BiblioFramedChest,0,0
197,BiblioCraft:BiblioPaneler,tile.BiblioPaneler,0,0
198,BiblioCraft:BiblioClipboard,tile.BiblioClipboard,0,0
199,BiblioCraft:BiblioTypewriter,tile.BiblioTypewriter,0,0
200,BiblioCraft:BiblioClock,tile.BiblioClock,0,0
201,BiblioCraft:BiblioFlatPainting,tile.BiblioFlatPainting,0,0
202,BiblioCraft:BiblioSimplePainting,tile.BiblioSimplePainting,0,0
203,BiblioCraft:BiblioMiddlePainting,tile.BiblioMiddlePainting,0,0
204,BiblioCraft:BiblioFancyPainting,tile.BiblioFancyPainting,0,0
205,BiblioCraft:BiblioBorderlessPainting,tile.BiblioBorderlessPainting,0,0
206,BiblioCraft:BiblioPaintPress,tile.BiblioPaintPress,0,0
207,BiblioCraft:BiblioSwordPedestal,tile.BiblioSwordPedestal,0,0
208,BiblioCraft:BiblioFancySign,tile.BiblioFancySign,0,0
209,BiblioCraft:BiblioWorkbench,tile.BiblioWorkbench,0,0
210,BiblioCraft:BiblioBell,tile.BiblioBell,0,0
211,BiblioCraft:Bibliotheca,tile.BiblioBookcase,0,0
212,BiblioCraft:BookcaseFilled,tile.BookcaseFilled,0,0
213,BiblioCraft:BiblioPotionShelf,tile.BiblioPotionShelf,0,0
214,BiblioCraft:BiblioShelf,tile.BiblioShelf,0,0
215,BiblioCraft:BiblioRack,tile.BiblioRack,0,0
216,BiblioCraft:BiblioCase,tile.BiblioCase,0,0
217,BiblioCraft:BiblioLabel,tile.BiblioLabel,0,0
218,BiblioCraft:BiblioDesk,tile.BiblioDesk,7,0
219,BiblioCraft:BiblioTable,tile.BiblioTable,0,0
220,BiblioCraft:Armor Stand,tile.BiblioArmorStand,0,0
221,BiblioCraft:Typesetting Machine,tile.BiblioType,0,0
222,BiblioCraft:Printing Press,tile.BiblioPress,0,0
223,BiblioCraft:BiblioLantern,tile.BiblioLantern,15,0
224,BiblioCraft:BiblioIronLantern,tile.BiblioIronLantern,15,0
225,BiblioCraft:BiblioLamp,tile.BiblioLamp,15,0
226,BiblioCraft:BiblioIronLamp,tile.BiblioIronLamp,15,0
227,BiblioCraft:BiblioStuffs,tile.BiblioStuffs,0,0
228,BiblioCraft:BiblioMapFrames,tile.BiblioMapFrames,0,0
229,BiblioCraft:BiblioSeats,tile.BiblioSeats,0,0
230,malisisdoors:door_acacia,tile.door_acacia,0,0
231,malisisdoors:door_birch,tile.door_birch,0,0
232,malisisdoors:door_dark_oak,tile.door_dark_oak,0,0
233,malisisdoors:door_jungle,tile.door_jungle,0,0
234,malisisdoors:door_spruce,tile.door_spruce,0,0
