/////////////////////////////////////

Item List
2019/10/18 01:29:57

/////////////////////////////////////

ID,RegisterName,UnlocalizedName,MaxDamage,MaxStackSize
1,minecraft:stone,tile.stone,0,64
2,minecraft:grass,tile.grass,0,64
3,minecraft:dirt,tile.dirt,0,64
4,minecraft:cobblestone,tile.stonebrick,0,64
5,minecraft:planks,tile.wood,0,64
6,minecraft:sapling,tile.sapling,0,64
7,minecraft:bedrock,tile.bedrock,0,64
8,minecraft:flowing_water,tile.water,0,64
9,minecraft:water,tile.water,0,64
10,minecraft:flowing_lava,tile.lava,0,64
11,minecraft:lava,tile.lava,0,64
12,minecraft:sand,tile.sand,0,64
13,minecraft:gravel,tile.gravel,0,64
14,minecraft:gold_ore,tile.oreGold,0,64
15,minecraft:iron_ore,tile.oreIron,0,64
16,minecraft:coal_ore,tile.oreCoal,0,64
17,minecraft:log,tile.log,0,64
18,minecraft:leaves,tile.leaves,0,64
19,minecraft:sponge,tile.sponge,0,64
20,minecraft:glass,tile.glass,0,64
21,minecraft:lapis_ore,tile.oreLapis,0,64
22,minecraft:lapis_block,tile.blockLapis,0,64
23,minecraft:dispenser,tile.dispenser,0,64
24,minecraft:sandstone,tile.sandStone,0,64
25,minecraft:noteblock,tile.musicBlock,0,64
27,minecraft:golden_rail,tile.goldenRail,0,64
28,minecraft:detector_rail,tile.detectorRail,0,64
29,minecraft:sticky_piston,tile.pistonStickyBase,0,64
30,minecraft:web,tile.web,0,64
31,minecraft:tallgrass,tile.tallgrass,0,64
32,minecraft:deadbush,tile.deadbush,0,64
33,minecraft:piston,tile.pistonBase,0,64
35,minecraft:wool,tile.cloth,0,64
37,minecraft:yellow_flower,tile.flower1,0,64
38,minecraft:red_flower,tile.flower2,0,64
39,minecraft:brown_mushroom,tile.mushroom,0,64
40,minecraft:red_mushroom,tile.mushroom,0,64
41,minecraft:gold_block,tile.blockGold,0,64
42,minecraft:iron_block,tile.blockIron,0,64
43,minecraft:double_stone_slab,tile.stoneSlab,0,64
44,minecraft:stone_slab,tile.stoneSlab,0,64
45,minecraft:brick_block,tile.brick,0,64
46,minecraft:tnt,tile.tnt,0,64
47,minecraft:bookshelf,tile.bookshelf,0,64
48,minecraft:mossy_cobblestone,tile.stoneMoss,0,64
49,minecraft:obsidian,tile.obsidian,0,64
50,minecraft:torch,tile.torch,0,64
51,minecraft:fire,tile.fire,0,64
52,minecraft:mob_spawner,tile.mobSpawner,0,64
53,minecraft:oak_stairs,tile.stairsWood,0,64
54,minecraft:chest,tile.chest,0,64
56,minecraft:diamond_ore,tile.oreDiamond,0,64
57,minecraft:diamond_block,tile.blockDiamond,0,64
58,minecraft:crafting_table,tile.workbench,0,64
60,minecraft:farmland,tile.farmland,0,64
61,minecraft:furnace,tile.furnace,0,64
62,minecraft:lit_furnace,tile.furnace,0,64
65,minecraft:ladder,tile.ladder,0,64
66,minecraft:rail,tile.rail,0,64
67,minecraft:stone_stairs,tile.stairsStone,0,64
69,minecraft:lever,tile.lever,0,64
70,minecraft:stone_pressure_plate,tile.pressurePlate,0,64
72,minecraft:wooden_pressure_plate,tile.pressurePlate,0,64
73,minecraft:redstone_ore,tile.oreRedstone,0,64
76,minecraft:redstone_torch,tile.notGate,0,64
77,minecraft:stone_button,tile.button,0,64
78,minecraft:snow_layer,tile.snow,0,64
79,minecraft:ice,tile.ice,0,64
80,minecraft:snow,tile.snow,0,64
81,minecraft:cactus,tile.cactus,0,64
82,minecraft:clay,tile.clay,0,64
84,minecraft:jukebox,tile.jukebox,0,64
85,minecraft:fence,tile.fence,0,64
86,minecraft:pumpkin,tile.pumpkin,0,64
87,minecraft:netherrack,tile.hellrock,0,64
88,minecraft:soul_sand,tile.hellsand,0,64
89,minecraft:glowstone,tile.lightgem,0,64
90,minecraft:portal,tile.portal,0,64
91,minecraft:lit_pumpkin,tile.litpumpkin,0,64
95,minecraft:stained_glass,tile.stainedGlass,0,64
96,minecraft:trapdoor,tile.trapdoor,0,64
